模型,采样方法,FPR,TPR,AUC,阈值
SVM,BorderlineSMOTE,"[0.0, 0.0, 0.003105590062111801, 0.003105590062111801, 0.015527950310559006, 0.015527950310559006, 0.018633540372670808, 0.018633540372670808, 0.062111801242236024, 0.062111801242236024, 0.39751552795031053, 0.39751552795031053, 0.4751552795031056, 0.4751552795031056, 1.0]","[0.0, 0.125, 0.125, 0.375, 0.375, 0.5, 0.5, 0.625, 0.625, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",0.8781055900621119,"[inf, 0.9859345450914727, 0.3909887576637053, 0.33618460954185675, 0.021604824410866693, 0.016369409521472224, 0.014267976240330552, 0.01033221830907491, 0.0025850333517015048, 0.0024948439346683653, 0.0003669537969155243, 0.0003560235019500341, 0.00024872159602469925, 0.0002486268699093757, 1.1093545905041656e-07]"
SVM,SMOTEENN,"[0.0, 0.0, 0.003105590062111801, 0.003105590062111801, 0.015527950310559006, 0.015527950310559006, 0.040372670807453416, 0.040372670807453416, 0.059006211180124224, 0.059006211180124224, 0.6055900621118012, 0.6055900621118012, 0.6335403726708074, 0.6335403726708074, 1.0]","[0.0, 0.125, 0.125, 0.375, 0.375, 0.5, 0.5, 0.625, 0.625, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",0.8299689440993788,"[inf, 0.9842385566164509, 0.45116109422808637, 0.33748585604127157, 0.02119708875884983, 0.014359542703586569, 0.00643579485082824, 0.0063694890245531025, 0.004656360972347987, 0.004450549942873759, 0.0002746588329624042, 0.00026631719081567106, 0.00020009938726794896, 0.00019731980820428317, 1.4304542443384837e-07]"
KNN,No Sampling,"[0.0, 0.012422360248447204, 0.052795031055900624, 1.0]","[0.0, 0.0, 0.375, 1.0]",0.6587732919254659,"[inf, 0.4, 0.2, 0.0]"
KNN,SMOTE,"[0.0, 0.027950310559006212, 0.040372670807453416, 0.07142857142857142, 0.09316770186335403, 1.0]","[0.0, 0.375, 0.5, 0.75, 0.75, 1.0]",0.8398680124223603,"[inf, 1.0, 0.8, 0.4, 0.2, 0.0]"
KNN,BorderlineSMOTE,"[0.0, 0.018633540372670808, 0.037267080745341616, 0.055900621118012424, 0.07142857142857142, 0.09627329192546584, 1.0]","[0.0, 0.375, 0.375, 0.75, 0.75, 0.75, 1.0]",0.8420031055900621,"[inf, 1.0, 0.8, 0.6, 0.4, 0.2, 0.0]"
KNN,SMOTEENN,"[0.0, 0.027950310559006212, 0.040372670807453416, 0.059006211180124224, 0.07142857142857142, 0.10248447204968944, 1.0]","[0.0, 0.375, 0.5, 0.625, 0.75, 0.75, 1.0]",0.8383152173913043,"[inf, 1.0, 0.8, 0.6, 0.4, 0.2, 0.0]"
逻辑回归,No Sampling,"[0.0, 0.0, 0.0, 0.009316770186335404, 0.009316770186335404, 0.012422360248447204, 0.012422360248447204, 0.031055900621118012, 0.031055900621118012, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",0.9934006211180125,"[inf, 0.8670250945324867, 0.4207630806263719, 0.2662101108282153, 0.25480978237097585, 0.19500441899495286, 0.19110552844066586, 0.13650262841032046, 0.12926624139071735, 5.541463194004464e-25]"
逻辑回归,SMOTE,"[0.0, 0.0, 0.0, 0.006211180124223602, 0.006211180124223602, 0.012422360248447204, 0.012422360248447204, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.75, 0.75, 1.0, 1.0]",0.9961180124223602,"[inf, 0.9981208159450214, 0.9075395975620015, 0.8368920019072453, 0.7280095839887966, 0.6128523322804396, 0.48499492887256546, 3.050536839870699e-32]"
逻辑回归,BorderlineSMOTE,"[0.0, 0.0, 0.0, 0.009316770186335404, 0.009316770186335404, 0.018633540372670808, 0.018633540372670808, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.875, 0.875, 1.0, 1.0]",0.9953416149068323,"[inf, 0.9979978229716299, 0.9067606194221428, 0.7819380108866073, 0.678732041576759, 0.44750398674367337, 0.4053424888436484, 2.5793876585717403e-32]"
逻辑回归,SMOTEENN,"[0.0, 0.0, 0.0, 0.006211180124223602, 0.006211180124223602, 0.009316770186335404, 0.009316770186335404, 0.012422360248447204, 0.012422360248447204, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",0.9965062111801242,"[inf, 0.9984374483983345, 0.9108320395159812, 0.8371232325985613, 0.727709368021769, 0.7240958358354255, 0.6153648946078313, 0.613153013304501, 0.4836542782630445, 4.1913338555493596e-29]"
