模型,采样方法,FPR,TPR,AUC,阈值
决策树,No Sampling,"[0.0, 0.012422360248447204, 1.0]","[0.0, 0.25, 1.0]",0.6187888198757764,"[inf, 1.0, 0.0]"
决策树,SMOTE,"[0.0, 0.021739130434782608, 1.0]","[0.0, 0.375, 1.0]",0.6766304347826086,"[inf, 1.0, 0.0]"
决策树,BorderlineSMOTE,"[0.0, 0.012422360248447204, 1.0]","[0.0, 0.25, 1.0]",0.6187888198757764,"[inf, 1.0, 0.0]"
决策树,SMOTEENN,"[0.0, 0.027950310559006212, 1.0]","[0.0, 0.25, 1.0]",0.6110248447204969,"[inf, 1.0, 0.0]"
随机森林,No Sampling,"[0.0, 0.0, 0.0, 0.003105590062111801, 0.006211180124223602, 0.012422360248447204, 0.015527950310559006, 0.015527950310559006, 0.021739130434782608, 0.027950310559006212, 0.031055900621118012, 0.040372670807453416, 0.059006211180124224, 0.07453416149068323, 0.08074534161490683, 0.09006211180124224, 0.11801242236024845, 0.15527950310559005, 0.18944099378881987, 0.2422360248447205, 0.3385093167701863, 0.4906832298136646, 1.0]","[0.0, 0.125, 0.25, 0.375, 0.375, 0.625, 0.625, 0.75, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9835015527950312,"[inf, 0.32, 0.27, 0.22, 0.2, 0.18, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, 0.11, 0.1, 0.09, 0.08, 0.07, 0.05, 0.04, 0.03, 0.02, 0.01, 0.0]"
随机森林,SMOTE,"[0.0, 0.0, 0.0, 0.015527950310559006, 0.015527950310559006, 0.031055900621118012, 0.034161490683229816, 0.040372670807453416, 0.043478260869565216, 0.049689440993788817, 0.059006211180124224, 0.07453416149068323, 0.08074534161490683, 0.09316770186335403, 0.09627329192546584, 0.10559006211180125, 0.13043478260869565, 0.16149068322981366, 0.20186335403726707, 0.2546583850931677, 0.33540372670807456, 0.4906832298136646, 1.0]","[0.0, 0.125, 0.25, 0.25, 0.375, 0.375, 0.5, 0.625, 0.75, 0.75, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9673913043478262,"[inf, 0.76, 0.69, 0.34, 0.3, 0.2, 0.18, 0.15, 0.14, 0.13, 0.12, 0.11, 0.1, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.03, 0.02, 0.01, 0.0]"
随机森林,BorderlineSMOTE,"[0.0, 0.0, 0.0, 0.015527950310559006, 0.021739130434782608, 0.027950310559006212, 0.027950310559006212, 0.034161490683229816, 0.040372670807453416, 0.043478260869565216, 0.046583850931677016, 0.055900621118012424, 0.07142857142857142, 0.07453416149068323, 0.09316770186335403, 0.11180124223602485, 0.14285714285714285, 0.15217391304347827, 0.16770186335403728, 0.2080745341614907, 0.2670807453416149, 0.3447204968944099, 0.5341614906832298, 1.0]","[0.0, 0.125, 0.25, 0.25, 0.5, 0.5, 0.625, 0.75, 0.75, 0.75, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9638975155279503,"[inf, 0.79, 0.62, 0.29, 0.27, 0.23, 0.2, 0.19, 0.18, 0.16, 0.14, 0.13, 0.12, 0.11, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.03, 0.02, 0.01, 0.0]"
随机森林,SMOTEENN,"[0.0, 0.0, 0.003105590062111801, 0.003105590062111801, 0.015527950310559006, 0.018633540372670808, 0.021739130434782608, 0.027950310559006212, 0.031055900621118012, 0.031055900621118012, 0.037267080745341616, 0.043478260869565216, 0.052795031055900624, 0.059006211180124224, 0.08695652173913043, 0.11801242236024845, 0.13043478260869565, 0.15217391304347827, 0.17080745341614906, 0.2236024844720497, 0.2608695652173913, 0.3695652173913043, 0.531055900621118, 1.0]","[0.0, 0.125, 0.125, 0.25, 0.25, 0.375, 0.375, 0.375, 0.375, 0.75, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9757375776397516,"[inf, 0.76, 0.65, 0.59, 0.36, 0.27, 0.26, 0.24, 0.21, 0.18, 0.16, 0.15, 0.14, 0.12, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.03, 0.02, 0.01, 0.0]"
SVM,No Sampling,"[0.0, 0.0, 0.0, 0.018633540372670808, 0.018633540372670808, 0.021739130434782608, 0.021739130434782608, 0.034161490683229816, 0.034161490683229816, 1.0]","[0.0, 0.125, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",0.9813664596273292,"[inf, 0.8422068009617851, 0.8335387029732585, 0.31442226447279126, 0.2157900198681756, 0.16136750556606277, 0.12985246775157702, 0.06394968821612503, 0.05182230292381715, 1.0911139981582853e-05]"
SVM,SMOTE,"[0.0, 0.0, 0.0, 0.003105590062111801, 0.003105590062111801, 0.015527950310559006, 0.015527950310559006, 0.024844720496894408, 0.024844720496894408, 0.031055900621118012, 0.031055900621118012, 0.4813664596273292, 0.4813664596273292, 0.5652173913043478, 0.5652173913043478, 1.0]","[0.0, 0.125, 0.25, 0.25, 0.375, 0.375, 0.5, 0.5, 0.625, 0.625, 0.75, 0.75, 0.875, 0.875, 1.0, 1.0]",0.859860248447205,"[inf, 0.9850387960324635, 0.44951856597469453, 0.4412986105589435, 0.34808695929479233, 0.021032774061462287, 0.014585627605118988, 0.006396798872136481, 0.0063219157370865255, 0.0044806222100118274, 0.004415765448446875, 0.00027310868284674154, 0.00026824482122332903, 0.00020165886850679354, 0.00019570437846873906, 1.3621513330344424e-07]"
