模型,采样方法,FPR,TPR,AUC,阈值
SVM,BorderlineSMOTE,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.028089887640449437, 0.028089887640449437, 0.033707865168539325, 0.033707865168539325, 0.056179775280898875, 0.056179775280898875, 0.06179775280898876, 0.06179775280898876, 0.07865168539325842, 0.07865168539325842, 0.10674157303370786, 0.10674157303370786, 0.1348314606741573, 0.1348314606741573, 0.14606741573033707, 0.14606741573033707, 0.21348314606741572, 0.21348314606741572, 1.0]","[0.0, 0.006578947368421052, 0.29605263157894735, 0.29605263157894735, 0.3223684210526316, 0.3223684210526316, 0.4934210526315789, 0.4934210526315789, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.9013157894736842, 0.9013157894736842, 0.9144736842105263, 0.9144736842105263, 0.9473684210526315, 0.9473684210526315, 0.9605263157894737, 0.9605263157894737, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9802631578947368, 0.9802631578947368, 0.993421052631579, 0.993421052631579, 1.0, 1.0]",0.9797826729745713,"[inf, 0.9999998043215276, 0.999758192092279, 0.9997512397940475, 0.9996466407797383, 0.9996438405180897, 0.9975181165091104, 0.997497595185365, 0.990122136231683, 0.9896070042639321, 0.984498420055868, 0.983480279194549, 0.7003070241350317, 0.6989016731716572, 0.6603956875040465, 0.5927956911077726, 0.5090409379323871, 0.4764831303426779, 0.46765831539952624, 0.4511782357129305, 0.44901814703495324, 0.37211037531568103, 0.341958521694366, 0.23271626803111467, 0.23117533135890997, 0.228655244648352, 0.16537310153869259, 0.05320621462473504, 0.050804293327662856, 2.947504910511225e-10]"
SVM,SMOTEENN,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.028089887640449437, 0.028089887640449437, 0.033707865168539325, 0.033707865168539325, 0.03932584269662921, 0.03932584269662921, 0.056179775280898875, 0.056179775280898875, 0.06179775280898876, 0.06179775280898876, 0.06741573033707865, 0.06741573033707865, 0.07865168539325842, 0.07865168539325842, 0.08426966292134831, 0.08426966292134831, 0.10674157303370786, 0.10674157303370786, 0.11235955056179775, 0.11235955056179775, 0.19101123595505617, 0.19101123595505617, 1.0]","[0.0, 0.006578947368421052, 0.3026315789473684, 0.3026315789473684, 0.3618421052631579, 0.3618421052631579, 0.6644736842105263, 0.6644736842105263, 0.7105263157894737, 0.7105263157894737, 0.7894736842105263, 0.7894736842105263, 0.8552631578947368, 0.8552631578947368, 0.8881578947368421, 0.8881578947368421, 0.9342105263157895, 0.9342105263157895, 0.9407894736842105, 0.9407894736842105, 0.9473684210526315, 0.9473684210526315, 0.9539473684210527, 0.9539473684210527, 0.9605263157894737, 0.9605263157894737, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9868421052631579, 0.9868421052631579, 1.0, 1.0]",0.9819633353045535,"[inf, 0.9999996228978458, 0.9998054619666955, 0.9998021394275162, 0.9997356974724667, 0.9997329304980409, 0.9957156575036684, 0.9955276903124964, 0.9939052440856344, 0.9936087913346946, 0.9863534540284526, 0.9855256821283691, 0.9685580219504031, 0.9591764578010886, 0.9502095558780319, 0.9496907596718248, 0.9006033397387618, 0.8715030308876097, 0.8671945987834713, 0.8609414387548614, 0.8479988388688976, 0.8385694530818923, 0.8256195457839668, 0.7886205552677794, 0.7853704526881895, 0.7525357868704894, 0.7504367876383734, 0.722277067495088, 0.7046587052161125, 0.7019948835630835, 0.7005409539207866, 0.5478733974869354, 0.5005602460621088, 8.691239954576543e-09]"
KNN,No Sampling,"[0.0, 0.028089887640449437, 0.07303370786516854, 0.19662921348314608, 0.3707865168539326, 0.6067415730337079, 1.0]","[0.0, 0.21710526315789475, 0.5460526315789473, 0.7960526315789473, 0.9605263157894737, 0.993421052631579, 1.0]",0.8785851567120047,"[inf, 1.0, 0.8, 0.6, 0.4, 0.2, 0.0]"
KNN,SMOTE,"[0.0, 0.011235955056179775, 0.056179775280898875, 0.19101123595505617, 0.3595505617977528, 0.5955056179775281, 1.0]","[0.0, 0.18421052631578946, 0.5, 0.7236842105263158, 0.881578947368421, 0.9276315789473685, 1.0]",0.8374852158486104,"[inf, 1.0, 0.8, 0.6, 0.4, 0.2, 0.0]"
KNN,BorderlineSMOTE,"[0.0, 0.016853932584269662, 0.06741573033707865, 0.19101123595505617, 0.4044943820224719, 0.5955056179775281, 1.0]","[0.0, 0.21052631578947367, 0.5263157894736842, 0.7236842105263158, 0.8947368421052632, 0.9539473684210527, 1.0]",0.842142223536369,"[inf, 1.0, 0.8, 0.6, 0.4, 0.2, 0.0]"
KNN,SMOTEENN,"[0.0, 0.08426966292134831, 0.1853932584269663, 0.38202247191011235, 0.5224719101123596, 0.7528089887640449, 1.0]","[0.0, 0.4605263157894737, 0.7302631578947368, 0.8486842105263158, 0.9078947368421053, 0.9342105263157895, 1.0]",0.809413808397398,"[inf, 1.0, 0.8, 0.6, 0.4, 0.2, 0.0]"
逻辑回归,No Sampling,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.03932584269662921, 0.03932584269662921, 1.0]","[0.0, 0.006578947368421052, 0.8092105263157895, 0.8092105263157895, 0.8947368421052632, 0.8947368421052632, 0.9078947368421053, 0.9078947368421053, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0]",0.9976345357776464,"[inf, 0.9990083704525871, 0.8714681952540094, 0.8707337570951846, 0.815815909055877, 0.8088944706540127, 0.7793281656715194, 0.7451902119810939, 0.5992858258657839, 0.5792369190021301, 0.5750748723272686, 0.49105074596447196, 0.4381873480657758, 1.2023446131688226e-14]"
逻辑回归,SMOTE,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.016853932584269662, 0.016853932584269662, 0.028089887640449437, 0.028089887640449437, 0.056179775280898875, 0.056179775280898875, 0.10674157303370786, 0.10674157303370786, 0.1348314606741573, 0.1348314606741573, 1.0]","[0.0, 0.006578947368421052, 0.9605263157894737, 0.9605263157894737, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0]",0.997708456534595,"[inf, 0.9998821852495117, 0.5893956753681252, 0.569837028586064, 0.5389381461718026, 0.4967012644947643, 0.4626657408045961, 0.39826091526755053, 0.3871476594953202, 0.29167953308480316, 0.28704445149313124, 0.21104376867684616, 0.16310799035992746, 0.11981219967384234, 0.11925585373243047, 3.587322479028366e-14]"
逻辑回归,BorderlineSMOTE,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.028089887640449437, 0.028089887640449437, 0.10112359550561797, 0.10112359550561797, 0.11797752808988764, 0.11797752808988764, 0.1348314606741573, 0.1348314606741573, 1.0]","[0.0, 0.006578947368421052, 0.9276315789473685, 0.9276315789473685, 0.9539473684210527, 0.9539473684210527, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0]",0.9970801301005322,"[inf, 0.9998922815948302, 0.6479067898846156, 0.6188147531570186, 0.6019036582296047, 0.594657510027387, 0.5369976287756306, 0.5367671051682289, 0.4745579201512558, 0.4337318671208246, 0.37766443302431896, 0.23531296127993775, 0.2180619773227689, 0.16152757820844357, 0.14568828655084348, 0.12826083225015555, 0.12334884057312816, 1.9412537555358462e-14]"
逻辑回归,SMOTEENN,"[0.0, 0.0, 0.0, 0.0056179775280898875, 0.0056179775280898875, 0.011235955056179775, 0.011235955056179775, 0.016853932584269662, 0.016853932584269662, 0.02247191011235955, 0.02247191011235955, 0.033707865168539325, 0.033707865168539325, 0.03932584269662921, 0.03932584269662921, 0.07865168539325842, 0.07865168539325842, 0.14606741573033707, 0.14606741573033707, 0.19101123595505617, 0.19101123595505617, 0.25842696629213485, 0.25842696629213485, 0.30337078651685395, 0.30337078651685395, 1.0]","[0.0, 0.006578947368421052, 0.881578947368421, 0.881578947368421, 0.9078947368421053, 0.9078947368421053, 0.9210526315789473, 0.9210526315789473, 0.9276315789473685, 0.9276315789473685, 0.9539473684210527, 0.9539473684210527, 0.9605263157894737, 0.9605263157894737, 0.9671052631578947, 0.9671052631578947, 0.9736842105263158, 0.9736842105263158, 0.9802631578947368, 0.9802631578947368, 0.9868421052631579, 0.9868421052631579, 0.993421052631579, 0.993421052631579, 1.0, 1.0]",0.992090479006505,"[inf, 0.9998583966043654, 0.8353821839156568, 0.8264360089284088, 0.8181800978428051, 0.8143088638839248, 0.7715332742139146, 0.7377500752451952, 0.7236665975645972, 0.7212249489707013, 0.6797453258281115, 0.6553035360116145, 0.6402085029587372, 0.6392573765146714, 0.6188898743813694, 0.5524372647472126, 0.5449758820422875, 0.388206317725575, 0.3868468774071213, 0.2773348102836154, 0.27590371649901835, 0.16991261313608583, 0.16287658409770372, 0.12057477571243853, 0.11430450974125642, 1.8445557862632027e-10]"
