模型,采样方法,FPR,TPR,AUC,阈值
决策树,No Sampling,"[0.0, 0.18125, 1.0]","[0.0, 0.8470588235294118, 1.0]",0.8329044117647059,"[inf, 1.0, 0.0]"
决策树,SMOTE,"[0.0, 0.14375, 1.0]","[0.0, 0.8529411764705882, 1.0]",0.8545955882352941,"[inf, 1.0, 0.0]"
决策树,BorderlineSMOTE,"[0.0, 0.15625, 1.0]","[0.0, 0.8529411764705882, 1.0]",0.8483455882352942,"[inf, 1.0, 0.0]"
决策树,SMOTEENN,"[0.0, 0.11875, 1.0]","[0.0, 0.7176470588235294, 1.0]",0.7994485294117647,"[inf, 1.0, 0.0]"
随机森林,No Sampling,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.00625, 0.0125, 0.01875, 0.03125, 0.03125, 0.04375, 0.04375, 0.05625, 0.05625, 0.0625, 0.0625, 0.075, 0.08125, 0.09375, 0.1, 0.10625, 0.10625, 0.125, 0.14375, 0.14375, 0.15, 0.15, 0.1625, 0.18125, 0.1875, 0.20625, 0.225, 0.25, 0.3, 0.325, 0.3375, 0.34375, 0.36875, 0.3875, 0.425, 0.45, 0.46875, 0.50625, 0.55625, 0.60625, 0.625, 0.65625, 0.66875, 0.725, 0.75625, 0.76875, 0.775, 0.8125, 0.86875, 0.8875, 0.925, 0.95625, 0.96875, 0.9875, 1.0]","[0.0, 0.0058823529411764705, 0.01764705882352941, 0.052941176470588235, 0.08235294117647059, 0.10588235294117647, 0.12352941176470589, 0.15294117647058825, 0.18823529411764706, 0.22941176470588234, 0.3, 0.3176470588235294, 0.32941176470588235, 0.34705882352941175, 0.38235294117647056, 0.4, 0.4117647058823529, 0.47058823529411764, 0.4764705882352941, 0.5, 0.5705882352941176, 0.5941176470588235, 0.6294117647058823, 0.6470588235294118, 0.6588235294117647, 0.6705882352941176, 0.6941176470588235, 0.7058823529411765, 0.7294117647058823, 0.7411764705882353, 0.7647058823529411, 0.7705882352941177, 0.8, 0.8, 0.8058823529411765, 0.8411764705882353, 0.8470588235294118, 0.8705882352941177, 0.888235294117647, 0.888235294117647, 0.8941176470588236, 0.9117647058823529, 0.9176470588235294, 0.9294117647058824, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9588235294117647, 0.9647058823529412, 0.9823529411764705, 0.9823529411764705, 0.9823529411764705, 0.9882352941176471, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9781433823529412,"[inf, 1.0, 0.99, 0.98, 0.97, 0.96, 0.95, 0.94, 0.93, 0.92, 0.9, 0.89, 0.88, 0.87, 0.86, 0.85, 0.84, 0.83, 0.82, 0.81, 0.79, 0.78, 0.77, 0.76, 0.75, 0.73, 0.71, 0.7, 0.69, 0.68, 0.67, 0.66, 0.65, 0.64, 0.63, 0.61, 0.6, 0.59, 0.58, 0.57, 0.56, 0.55, 0.54, 0.53, 0.52, 0.49, 0.48, 0.47, 0.46, 0.45, 0.43, 0.39, 0.38, 0.37, 0.35, 0.32, 0.31, 0.29, 0.28, 0.27, 0.26, 0.25, 0.24, 0.23, 0.22, 0.21, 0.19, 0.18, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, 0.11, 0.09, 0.08, 0.06, 0.05, 0.04, 0.03, 0.02, 0.0]"
随机森林,SMOTE,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.00625, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.0125, 0.03125, 0.04375, 0.04375, 0.04375, 0.04375, 0.05625, 0.06875, 0.06875, 0.08125, 0.08125, 0.0875, 0.0875, 0.1, 0.1125, 0.125, 0.13125, 0.14375, 0.15625, 0.1625, 0.2, 0.20625, 0.21875, 0.2375, 0.25, 0.25625, 0.2625, 0.3, 0.30625, 0.31875, 0.3375, 0.36875, 0.39375, 0.43125, 0.4625, 0.4875, 0.53125, 0.5625, 0.6, 0.6625, 0.6875, 0.7375, 0.8, 0.825, 0.8375, 0.89375, 0.91875, 0.95625, 0.98125, 0.99375, 1.0]","[0.0, 0.011764705882352941, 0.029411764705882353, 0.052941176470588235, 0.1, 0.12352941176470589, 0.19411764705882353, 0.2411764705882353, 0.24705882352941178, 0.2823529411764706, 0.3352941176470588, 0.37058823529411766, 0.4176470588235294, 0.4411764705882353, 0.4823529411764706, 0.5058823529411764, 0.5352941176470588, 0.5588235294117647, 0.5705882352941176, 0.5764705882352941, 0.5882352941176471, 0.6176470588235294, 0.6352941176470588, 0.6588235294117647, 0.6882352941176471, 0.7, 0.7176470588235294, 0.7411764705882353, 0.7647058823529411, 0.7764705882352941, 0.8, 0.8058823529411765, 0.8176470588235294, 0.8352941176470589, 0.8411764705882353, 0.8588235294117647, 0.8647058823529412, 0.9, 0.9176470588235294, 0.9294117647058824, 0.9411764705882353, 0.9470588235294117, 0.9588235294117647, 0.9647058823529412, 0.9705882352941176, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9823529411764705, 0.9823529411764705, 0.9823529411764705, 0.9941176470588236, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9760661764705881,"[inf, 1.0, 0.98, 0.97, 0.96, 0.95, 0.93, 0.92, 0.91, 0.9, 0.87, 0.86, 0.85, 0.83, 0.82, 0.8, 0.79, 0.78, 0.77, 0.76, 0.75, 0.74, 0.73, 0.72, 0.71, 0.69, 0.68, 0.66, 0.65, 0.64, 0.63, 0.62, 0.61, 0.6, 0.59, 0.58, 0.57, 0.55, 0.54, 0.52, 0.51, 0.49, 0.48, 0.47, 0.45, 0.44, 0.43, 0.42, 0.38, 0.37, 0.36, 0.35, 0.34, 0.33, 0.32, 0.31, 0.29, 0.28, 0.27, 0.26, 0.24, 0.22, 0.21, 0.2, 0.19, 0.18, 0.15, 0.13, 0.12, 0.11, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.02, 0.01, 0.0]"
随机森林,BorderlineSMOTE,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.00625, 0.0125, 0.0125, 0.01875, 0.01875, 0.025, 0.0375, 0.0375, 0.05, 0.05, 0.05, 0.0625, 0.0625, 0.08125, 0.09375, 0.10625, 0.10625, 0.1125, 0.1125, 0.11875, 0.14375, 0.15625, 0.1625, 0.175, 0.19375, 0.2, 0.225, 0.23125, 0.25625, 0.29375, 0.3, 0.325, 0.34375, 0.35, 0.36875, 0.375, 0.4125, 0.43125, 0.45, 0.475, 0.5, 0.54375, 0.55, 0.6125, 0.625, 0.64375, 0.6875, 0.70625, 0.75625, 0.7875, 0.8125, 0.8625, 0.89375, 0.9125, 0.95625, 0.96875, 0.9875, 1.0]","[0.0, 0.0058823529411764705, 0.029411764705882353, 0.058823529411764705, 0.09411764705882353, 0.1, 0.12352941176470589, 0.1588235294117647, 0.20588235294117646, 0.2411764705882353, 0.2647058823529412, 0.2823529411764706, 0.3058823529411765, 0.34705882352941175, 0.4, 0.4470588235294118, 0.4764705882352941, 0.49411764705882355, 0.5058823529411764, 0.5529411764705883, 0.5588235294117647, 0.5705882352941176, 0.5764705882352941, 0.5941176470588235, 0.6176470588235294, 0.6647058823529411, 0.6705882352941176, 0.6882352941176471, 0.6941176470588235, 0.711764705882353, 0.7235294117647059, 0.7411764705882353, 0.7529411764705882, 0.7705882352941177, 0.7941176470588235, 0.8058823529411765, 0.8352941176470589, 0.8529411764705882, 0.8941176470588236, 0.9058823529411765, 0.9058823529411765, 0.9176470588235294, 0.9235294117647059, 0.9352941176470588, 0.9470588235294117, 0.9529411764705882, 0.9529411764705882, 0.9647058823529412, 0.9647058823529412, 0.9647058823529412, 0.9705882352941176, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9764705882352941, 0.9823529411764705, 0.9823529411764705, 0.9823529411764705, 0.9823529411764705, 0.9882352941176471, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.97875,"[inf, 1.0, 0.99, 0.98, 0.97, 0.96, 0.95, 0.94, 0.93, 0.92, 0.91, 0.9, 0.89, 0.88, 0.85, 0.84, 0.83, 0.82, 0.81, 0.79, 0.78, 0.77, 0.76, 0.75, 0.73, 0.72, 0.71, 0.7, 0.69, 0.68, 0.67, 0.66, 0.65, 0.64, 0.63, 0.62, 0.61, 0.6, 0.59, 0.58, 0.57, 0.56, 0.55, 0.54, 0.52, 0.51, 0.5, 0.48, 0.47, 0.43, 0.42, 0.41, 0.39, 0.38, 0.37, 0.36, 0.35, 0.34, 0.31, 0.3, 0.29, 0.28, 0.27, 0.26, 0.25, 0.24, 0.23, 0.22, 0.21, 0.19, 0.18, 0.17, 0.15, 0.14, 0.13, 0.12, 0.11, 0.1, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.03, 0.02, 0.01]"
随机森林,SMOTEENN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00625, 0.00625, 0.00625, 0.00625, 0.00625, 0.0125, 0.0125, 0.0125, 0.0125, 0.025, 0.025, 0.0375, 0.05625, 0.05625, 0.0625, 0.06875, 0.09375, 0.11875, 0.125, 0.1375, 0.15625, 0.18125, 0.19375, 0.20625, 0.2375, 0.2625, 0.3125, 0.35, 0.3625, 0.4, 0.44375, 0.4625, 0.49375, 0.54375, 0.6125, 0.64375, 0.69375, 0.7125, 0.75625, 0.79375, 0.85625, 0.875, 0.90625, 0.96875, 1.0]","[0.0, 0.0058823529411764705, 0.023529411764705882, 0.03529411764705882, 0.052941176470588235, 0.08823529411764706, 0.09411764705882353, 0.12352941176470589, 0.13529411764705881, 0.1588235294117647, 0.17058823529411765, 0.17647058823529413, 0.21176470588235294, 0.2647058823529412, 0.27058823529411763, 0.3058823529411765, 0.31176470588235294, 0.3352941176470588, 0.3411764705882353, 0.36470588235294116, 0.4117647058823529, 0.4411764705882353, 0.45294117647058824, 0.4588235294117647, 0.4764705882352941, 0.4823529411764706, 0.5, 0.5235294117647059, 0.5352941176470588, 0.5529411764705883, 0.5647058823529412, 0.5823529411764706, 0.6058823529411764, 0.6235294117647059, 0.6470588235294118, 0.6647058823529411, 0.6882352941176471, 0.6941176470588235, 0.7058823529411765, 0.711764705882353, 0.7235294117647059, 0.7588235294117647, 0.7647058823529411, 0.7764705882352941, 0.7941176470588235, 0.8, 0.8352941176470589, 0.8764705882352941, 0.888235294117647, 0.9, 0.9, 0.9058823529411765, 0.9058823529411765, 0.9117647058823529, 0.9176470588235294, 0.9411764705882353, 0.9470588235294117, 0.9470588235294117, 0.9588235294117647, 0.9705882352941176, 0.9705882352941176, 0.9823529411764705, 0.9823529411764705, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9941176470588236, 0.9941176470588236, 0.9941176470588236, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9793014705882352,"[inf, 1.0, 0.97, 0.96, 0.95, 0.92, 0.91, 0.9, 0.88, 0.87, 0.86, 0.85, 0.84, 0.81, 0.8, 0.78, 0.77, 0.76, 0.75, 0.74, 0.73, 0.72, 0.71, 0.7, 0.69, 0.68, 0.67, 0.66, 0.65, 0.63, 0.61, 0.6, 0.57, 0.56, 0.54, 0.53, 0.52, 0.51, 0.5, 0.49, 0.48, 0.47, 0.46, 0.45, 0.44, 0.43, 0.42, 0.41, 0.4, 0.39, 0.38, 0.37, 0.36, 0.35, 0.33, 0.31, 0.3, 0.28, 0.27, 0.26, 0.25, 0.23, 0.22, 0.21, 0.19, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, 0.11, 0.1, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.03, 0.02, 0.01, 0.0]"
SVM,No Sampling,"[0.0, 0.0, 0.0, 0.00625, 0.00625, 0.0125, 0.0125, 0.01875, 0.01875, 0.025, 0.025, 0.03125, 0.03125, 0.0375, 0.0375, 0.04375, 0.04375, 0.05625, 0.05625, 0.06875, 0.06875, 1.0]","[0.0, 0.0058823529411764705, 0.8058823529411765, 0.8058823529411765, 0.888235294117647, 0.888235294117647, 0.8941176470588236, 0.8941176470588236, 0.9117647058823529, 0.9117647058823529, 0.9176470588235294, 0.9176470588235294, 0.9352941176470588, 0.9352941176470588, 0.9705882352941176, 0.9705882352941176, 0.9764705882352941, 0.9764705882352941, 0.9941176470588236, 0.9941176470588236, 1.0, 1.0]",0.995404411764706,"[inf, 0.9999890883838188, 0.9662671715328102, 0.9632559936863372, 0.805474223071488, 0.7989896474612315, 0.7763938828027916, 0.7651394288531997, 0.7326774701704307, 0.7267087461807816, 0.7092798235435055, 0.6955700408694395, 0.6699928444683031, 0.6530263321160816, 0.5778108524787062, 0.5344516192932577, 0.5236959551364028, 0.4647400089255671, 0.44330502169317554, 0.38479411591975327, 0.3762318893205944, 5.592682613041971e-07]"
SVM,SMOTE,"[0.0, 0.0, 0.0, 0.00625, 0.00625, 0.0125, 0.0125, 0.01875, 0.01875, 0.03125, 0.03125, 0.06875, 0.06875, 1.0]","[0.0, 0.0058823529411764705, 0.8058823529411765, 0.8058823529411765, 0.8647058823529412, 0.8647058823529412, 0.888235294117647, 0.888235294117647, 0.9176470588235294, 0.9176470588235294, 0.9941176470588236, 0.9941176470588236, 1.0, 1.0]",0.9959926470588235,"[inf, 0.9999915400996783, 0.9571089575396455, 0.9570838167542834, 0.8844329527309606, 0.861942612637057, 0.8411919484810322, 0.8093577674006278, 0.6989880636769982, 0.6897790256881948, 0.4997012070938326, 0.36789287250239633, 0.36598892197223826, 5.539507500088892e-08]"
