验证方式,方法,高质量F1_均值,高质量F1_标准差,中质量F1_均值,中质量F1_标准差,低质量F1_均值,低质量F1_标准差,高质量精确率_均值,高质量精确率_标准差,高质量召回率_均值,高质量召回率_标准差,宏平均F1_均值,宏平均F1_标准差,平衡准确率_均值,平衡准确率_标准差,G-均值_均值,G-均值_标准差
5折分层交叉验证,逻辑回归 + NoSampling,0.6541636141636141,0.2146453747474558,0.9753335507115238,0.007421828663800447,0.9888143119447326,0.006015426291299446,0.9714285714285713,0.06388765649999402,0.5321428571428571,0.24691980024919435,0.8727704922732903,0.07183360947951324,0.8358305195747018,0.07989535638487603,0.7853440230773023,0.13412465919722527
5折分层交叉验证,逻辑回归 + SMOTE,0.8012565504670768,0.059435809816334624,0.9715281359527743,0.008574555315523022,0.986384333483102,0.006179515419185509,0.6717060717060717,0.08305410758513197,1.0,0.0,0.9197230066343176,0.021953128423393364,0.9819267680737142,0.005264318121399766,0.9818026793210901,0.005291299095446911
5折分层交叉验证,逻辑回归 + GAN,0.7421605484298983,0.09004102658974045,0.9730051075680077,0.006388752673953787,0.9882140014392988,0.007211638214817899,0.7022005772005772,0.05854307049648921,0.7928571428571429,0.14649388787138345,0.9011265524790684,0.02757500207721755,0.9170764508119191,0.04426246735058767,0.9097030936716365,0.05131367147045971
