index,Model,Model_ZH,Method,Method_ZH,High_F1_mean,High_F1_std,High_F1_var,Medium_F1_mean,Medium_F1_std,Medium_F1_var,Low_F1_mean,Low_F1_std,Low_F1_var,High_Precision_mean,High_Precision_std,High_Precision_var,High_Recall_mean,High_Recall_std,High_Recall_var,Macro_F1_mean,Macro_F1_std,Macro_F1_var,Balanced_Accuracy_mean,Balanced_Accuracy_std,Balanced_Accuracy_var,G_mean_mean,G_mean_std,G_mean_var
10,Logistic Regression,逻辑回归,BorderlineSMOTE,边界SMOTE,0.8113575605680868,0.04663141806050257,0.0021744891503333655,0.9722274988914933,0.0072470889512662885,5.252029826756592e-05,0.9858295039455252,0.00603472554892408,3.641791245083704e-05,0.6974203574203575,0.06130005304742604,0.0037576965036172465,0.975,0.05590169943749474,0.003125,0.9231381878017018,0.01660094450805542,0.00027559135855953547,0.9744700164252992,0.01871342751135368,0.0003501923692226888,0.9741379230633715,0.019206902435348658,0.00036890510116100226
13,Logistic Regression,逻辑回归,SMOTE,SMOTE,0.8012565504670768,0.05943580981633462,0.003532615488523499,0.9715281359527743,0.008574555315523036,7.352299885896435e-05,0.986384333483102,0.006179515419185504,3.81864108159514e-05,0.6717060717060717,0.08305410758513199,0.006897984786762679,1.0,0.0,0.0,0.9197230066343177,0.02195312842339336,0.0004819398475740014,0.9819267680737142,0.00526431812139975,2.7713045283297796e-05,0.9818026793210903,0.005291299095446849,2.799784611747665e-05
11,Logistic Regression,逻辑回归,GAN,GAN插补,0.7929038281979459,0.11306221869322704,0.012783065295835097,0.9750788320723409,0.011277015960541606,0.0001271710889743101,0.987012895715781,0.006792144911912489,4.613323250441871e-05,0.7806349206349206,0.08980817159120492,0.008065507684555308,0.8178571428571428,0.17239311980210242,0.029719387755102036,0.9183318519953559,0.041379736333242885,0.0017122825790087013,0.9263798563846747,0.05917622953816732,0.003501826142353866,0.9194728479188268,0.06627357910688207,0.004392187287636155
14,Logistic Regression,逻辑回归,SMOTEENN,SMOTE-ENN,0.760979174278407,0.045229192242651144,0.0020456798309226947,0.9617807119270412,0.01139204787929456,0.00012977875488413967,0.9803100717757663,0.00922475230379848,8.509605506643538e-05,0.615897435897436,0.058929749014136876,0.003472715318869166,1.0,0.0,0.0,0.9010233193270715,0.018376450288538074,0.0003376939252071111,0.9758568227259922,0.007100030228053258,5.041042923927e-05,0.9756677316244179,0.00718772267787183,5.1663357293993e-05
12,Logistic Regression,逻辑回归,NoSampling,不采样,0.6541636141636141,0.21464537474745576,0.04607263690047572,0.9753335507115238,0.007421828663800407,5.508354071480934e-05,0.9888143119447326,0.006015426291299461,3.618535346605679e-05,0.9714285714285713,0.06388765649999402,0.0040816326530612275,0.5321428571428571,0.24691980024919435,0.06096938775510204,0.8727704922732903,0.07183360947951323,0.005160067450855212,0.8358305195747018,0.07989535638487605,0.0063832679718663545,0.7853440230773023,0.13412465919722527,0.017989424204771825
23,SVM,支持向量机,SMOTE,SMOTE,0.6197435897435898,0.16219747543901625,0.026308021038790277,0.9428122977062611,0.011832425889114264,0.00014000630242138148,0.9637730999334236,0.01215113736873657,0.0001476501393539063,0.729047619047619,0.11249086634628552,0.012654195011337872,0.5571428571428572,0.19659084206461266,0.038647959183673475,0.8421096624610914,0.055116235420644956,0.0030377994069439576,0.8229814971571681,0.06654283503143459,0.004427948894020719,0.7885675722756987,0.10111108089176686,0.010223450679101423
20,SVM,支持向量机,BorderlineSMOTE,边界SMOTE,0.615516248457425,0.17153020088167734,0.02942260981450858,0.9435590643333563,0.012358466636441589,0.00015273169760403988,0.9654616348280891,0.011402717324278618,0.0001300219623774037,0.7017460317460318,0.17831233408198288,0.031795288485764676,0.5607142857142857,0.17839276776774537,0.031823979591836735,0.8415123158729567,0.06030621583206573,0.003636839667983696,0.8246105698388723,0.06327619272885476,0.004003876566259172,0.7935642818350278,0.08787959149576045,0.007722822601461732
19,Random Forest,随机森林,SMOTEENN,SMOTE-ENN,0.5999643493761141,0.14305056611335676,0.02046346446535185,0.8871758891940935,0.015865727481022794,0.0002517213085020819,0.9167153242110799,0.011513711774986035,0.00013256555883745208,0.6390476190476191,0.22147720919997918,0.04905215419501134,0.5892857142857142,0.16268631391329105,0.02646683673469388,0.8012851875937625,0.04847857721025464,0.0023501724483306207,0.7982042502915732,0.04918767999026088,0.0024194278628243107,0.7765476653579875,0.06987489264751606,0.004882500622501894
24,SVM,支持向量机,SMOTEENN,SMOTE-ENN,0.5723684210526315,0.2303258060139465,0.05304997691597412,0.9186904236386487,0.012847245277220911,0.00016505171121307502,0.9456288425545092,0.013577364793113049,0.00018434483472526576,0.5551298701298701,0.20306519628346648,0.04123547394164277,0.6035714285714285,0.277619711262786,0.07707270408163266,0.8122292290819297,0.07572897459591682,0.005734877593349015,0.8223951955593437,0.0889563548887634,0.00791323307509562,0.7811894251422629,0.16079971148622507,0.025856547214053227
18,Random Forest,随机森林,SMOTE,SMOTE,0.5652301946419593,0.13378782533204325,0.017899182207077313,0.8998063918966492,0.019702895652898525,0.0003882040971090076,0.9249464291435286,0.01947060697816421,0.0003791045360981368,0.77,0.15563490039905006,0.024222222222222235,0.4821428571428571,0.19602230714375135,0.03842474489795919,0.796661005227379,0.039986657888389135,0.001598932809083073,0.771744637206573,0.05758487654666085,0.0033160180068941706,0.7280467025476225,0.09115329275555364,0.008308922780179669
