Fold,Model,Model_ZH,Method,Method_ZH,High_F1,Medium_F1,Low_F1,High_Precision,High_Recall,Macro_F1,Balanced_Accuracy,G_mean
1,Decision Tree,决策树,NoSampling,不采样,0.46153846153846156,0.8284789644012945,0.863905325443787,0.5,0.42857142857142855,0.717974250461181,0.7081592871066554,0.6754327489100997
1,Random Forest,随机森林,NoSampling,不采样,0.0,0.9285714285714286,0.9565217391304348,0.0,0.0,0.6283643892339544,0.6352339181286549,0.0
1,SVM,支持向量机,NoSampling,不采样,0.0,0.9245901639344263,0.9540229885057471,0.0,0.0,0.6262043841467245,0.6327972709551657,0.0
1,KNN,K近邻,NoSampling,不采样,0.0,0.8172757475083057,0.8636363636363636,0.0,0.0,0.5603040370482231,0.5660331384015594,0.0
1,Logistic Regression,逻辑回归,NoSampling,不采样,0.4444444444444444,0.9771986970684039,0.9941860465116279,1.0,0.2857142857142857,0.8052763960081588,0.7575187969924811,0.6557322480954342
1,Decision Tree,决策树,SMOTE,SMOTE,0.3,0.8181818181818182,0.8734939759036144,0.23076923076923078,0.42857142857142855,0.6638919313618109,0.7018240044555834,0.6703588612899993
1,Random Forest,随机森林,SMOTE,SMOTE,0.4444444444444444,0.9329073482428115,0.9526627218934911,1.0,0.2857142857142857,0.776671504860249,0.7292536897800055,0.6369279829569576
1,SVM,支持向量机,SMOTE,SMOTE,0.4,0.9337748344370861,0.9597701149425287,0.6666666666666666,0.2857142857142857,0.7645149831265382,0.7299846839320524,0.6372980853277077
1,KNN,K近邻,SMOTE,SMOTE,0.2926829268292683,0.7391304347826086,0.8688046647230321,0.17647058823529413,0.8571428571428571,0.6335393421116363,0.7998468393205235,0.7943282055861378
1,Logistic Regression,逻辑回归,SMOTE,SMOTE,0.875,0.9866666666666667,0.9941860465116279,0.7777777777777778,1.0,0.9519509043927649,0.9912280701754387,0.9911499783452196
1,Decision Tree,决策树,SMOTEENN,SMOTEENN,0.47058823529411764,0.7837837837837838,0.8414985590778098,0.4,0.5714285714285714,0.6986235260519038,0.7294625452520189,0.7194120358286662
1,Random Forest,随机森林,SMOTEENN,SMOTEENN,0.7272727272727273,0.9131832797427653,0.9289940828402367,1.0,0.5714285714285714,0.856483363285243,0.8079225842383737,0.7884426033373654
1,SVM,支持向量机,SMOTEENN,SMOTEENN,0.16666666666666666,0.9150326797385621,0.9532163742690059,0.2,0.14285714285714285,0.6783052402247449,0.6723753829016986,0.5005636405674153
1,KNN,K近邻,SMOTEENN,SMOTEENN,0.2608695652173913,0.7148014440433214,0.8605341246290801,0.15384615384615385,0.8571428571428571,0.6120683779632642,0.7854706209969368,0.7793614189952106
1,Logistic Regression,逻辑回归,SMOTEENN,SMOTEENN,0.8235294117647058,0.9801324503311258,0.9912023460410557,0.7,1.0,0.9316214027122958,0.9873294346978558,0.9872706823750182
1,Decision Tree,决策树,BorderlineSMOTE,BorderlineSMOTE,0.3076923076923077,0.8598726114649682,0.8948948948948949,0.3333333333333333,0.2857142857142857,0.687486604684057,0.6817390698969646,0.6046964672820674
1,Random Forest,随机森林,BorderlineSMOTE,BorderlineSMOTE,0.4444444444444444,0.9285714285714286,0.9504373177842566,1.0,0.2857142857142857,0.7744843969333765,0.7265733778891673,0.6351436586433221
1,SVM,支持向量机,BorderlineSMOTE,BorderlineSMOTE,0.5454545454545454,0.9372937293729373,0.9595375722543352,0.75,0.42857142857142855,0.814095282360606,0.7778473962684488,0.7297822838726765
1,KNN,K近邻,BorderlineSMOTE,BorderlineSMOTE,0.3,0.7436823104693141,0.8746355685131195,0.18181818181818182,0.8571428571428571,0.6394392929941445,0.8039891395154553,0.798694447543713
1,Logistic Regression,逻辑回归,BorderlineSMOTE,BorderlineSMOTE,0.875,0.9833887043189369,0.9912536443148688,0.7777777777777778,1.0,0.9498807828779352,0.9892787524366472,0.9892141336158329
1,Decision Tree,决策树,GAN,GAN,0.375,0.8289473684210527,0.8764705882352941,0.3333333333333333,0.42857142857142855,0.6934726522187823,0.709621275410749,0.6764672512641339
1,Random Forest,随机森林,GAN,GAN,0.6,0.9377049180327869,0.9565217391304348,1.0,0.42857142857142855,0.8314088857210739,0.7780910609857977,0.7300195644917387
1,SVM,支持向量机,GAN,GAN,0.36363636363636365,0.9235880398671097,0.9540229885057471,0.5,0.2857142857142857,0.7470824640030734,0.7236494012809803,0.6330019509420941
1,KNN,K近邻,GAN,GAN,0.2857142857142857,0.7986348122866894,0.8611898016997167,0.2857142857142857,0.2857142857142857,0.6485129665668973,0.6481133389028125,0.5803730475687537
